arp_id,dns_id,eth_id,eth_type,icmp_id,idx,ip_id,ip_ihl,ip_len,ip_tos,ip_version,ipvsix_id,label_name,label_value,pad_id,tcp_dport,tcp_fields_options.MSS,tcp_fields_options.NOP,tcp_fields_options.SAckOK,tcp_fields_options.Timestamp,tcp_fields_options.WScale,tcp_id,tcp_seq,tcp_sport,udp_id
-1.0,-1.0,-1.0,2048,-1.0,45,-1.0,5,60302,0,4,-1.0,attack,1,-1.0,37345,-1.0,-1.0,-1.0,1658857727.0,-1.0,-1.0,3522,8080,-1.0
-1.0,-1.0,-1.0,2048,-1.0,46,-1.0,5,17756,0,4,-1.0,attack,1,-1.0,8080,-1.0,-1.0,-1.0,1658857727.0,-1.0,-1.0,65064,37345,-1.0
-1.0,-1.0,-1.0,2048,-1.0,47,-1.0,5,17756,0,4,-1.0,attack,1,-1.0,8080,-1.0,-1.0,-1.0,1658857727.0,-1.0,-1.0,65064,37345,-1.0
-1.0,-1.0,-1.0,2048,-1.0,48,-1.0,5,7020,0,4,-1.0,attack,1,-1.0,8080,65495.0,-1.0,-1.0,1658859870.0,7.0,-1.0,65072,36249,-1.0
-1.0,-1.0,-1.0,2048,-1.0,49,-1.0,5,7020,0,4,-1.0,attack,1,-1.0,8080,65495.0,-1.0,-1.0,1658859870.0,7.0,-1.0,65072,36249,-1.0
-1.0,-1.0,-1.0,2048,-1.0,50,-1.0,5,15546,0,4,-1.0,attack,1,-1.0,36249,65495.0,-1.0,-1.0,1658859870.0,7.0,-1.0,65072,8080,-1.0
-1.0,-1.0,-1.0,2048,-1.0,51,-1.0,5,15546,0,4,-1.0,attack,1,-1.0,36249,65495.0,-1.0,-1.0,1658859870.0,7.0,-1.0,65072,8080,-1.0
-1.0,-1.0,-1.0,2048,-1.0,52,-1.0,5,7027,0,4,-1.0,attack,1,-1.0,8080,-1.0,-1.0,-1.0,1658859870.0,-1.0,-1.0,65064,36249,-1.0
-1.0,-1.0,-1.0,2048,-1.0,53,-1.0,5,7027,0,4,-1.0,attack,1,-1.0,8080,-1.0,-1.0,-1.0,1658859870.0,-1.0,-1.0,65064,36249,-1.0
-1.0,-1.0,-1.0,2048,-1.0,54,-1.0,5,6828,0,4,-1.0,attack,1,-1.0,8080,-1.0,-1.0,-1.0,1658859870.0,-1.0,-1.0,65262,36249,-1.0
